shape: (101, 4)
┌───────┬───────────────┬─────────────────┬──────────────────┐
│ epoch ┆ training_loss ┆ validation_loss ┆ time_since_start │
│ ---   ┆ ---           ┆ ---             ┆ ---              │
│ i64   ┆ f64           ┆ f64             ┆ f64              │
╞═══════╪═══════════════╪═════════════════╪══════════════════╡
│ -1    ┆ 0.0           ┆ 0.0             ┆ 0.0              │
│ 100   ┆ 0.01414       ┆ 0.001115        ┆ 4.025088         │
│ 200   ┆ 0.008797      ┆ 0.000615        ┆ 7.433416         │
│ 300   ┆ 0.005544      ┆ 0.000351        ┆ 10.860954        │
│ 400   ┆ 0.004148      ┆ 0.000268        ┆ 14.334066        │
│ 500   ┆ 0.006948      ┆ 0.000477        ┆ 18.159001        │
│ 600   ┆ 0.005146      ┆ 0.000304        ┆ 22.235298        │
│ 700   ┆ 0.003114      ┆ 0.000175        ┆ 25.887892        │
│ 800   ┆ 0.00303       ┆ 0.000176        ┆ 29.686922        │
│ 900   ┆ 0.002574      ┆ 0.000145        ┆ 33.456458        │
│ 1000  ┆ 0.002997      ┆ 0.000163        ┆ 37.161107        │
│ 1100  ┆ 0.002735      ┆ 0.000168        ┆ 40.938886        │
│ 1200  ┆ 0.002498      ┆ 0.000134        ┆ 44.710152        │
│ 1300  ┆ 0.002955      ┆ 0.000197        ┆ 48.460273        │
│ 1400  ┆ 0.002203      ┆ 0.000129        ┆ 52.326434        │
│ 1500  ┆ 0.001991      ┆ 0.000101        ┆ 56.093668        │
│ 1600  ┆ 0.001919      ┆ 0.00009         ┆ 59.862144        │
│ 1700  ┆ 0.002669      ┆ 0.000217        ┆ 63.609911        │
│ 1800  ┆ 0.00189       ┆ 0.000096        ┆ 67.529399        │
│ 1900  ┆ 0.002055      ┆ 0.000125        ┆ 71.504385        │
│ 2000  ┆ 0.001693      ┆ 0.00008         ┆ 75.415103        │
│ 2100  ┆ 0.001688      ┆ 0.000078        ┆ 79.385403        │
│ 2200  ┆ 0.00176       ┆ 0.000091        ┆ 83.258614        │
│ 2300  ┆ 0.001586      ┆ 0.000076        ┆ 87.07884         │
│ 2400  ┆ 0.001717      ┆ 0.000082        ┆ 90.993319        │
│ 2500  ┆ 0.001573      ┆ 0.000072        ┆ 94.805034        │
│ 2600  ┆ 0.001527      ┆ 0.000067        ┆ 98.554511        │
│ 2700  ┆ 0.001534      ┆ 0.000066        ┆ 102.454579       │
│ 2800  ┆ 0.001893      ┆ 0.000082        ┆ 106.362926       │
│ 2900  ┆ 0.002327      ┆ 0.00013         ┆ 110.296996       │
│ 3000  ┆ 0.001427      ┆ 0.000065        ┆ 114.189207       │
│ 3100  ┆ 0.00142       ┆ 0.000062        ┆ 118.110464       │
│ 3200  ┆ 0.00184       ┆ 0.000097        ┆ 121.972916       │
│ 3300  ┆ 0.001392      ┆ 0.00006         ┆ 125.941517       │
